Season,Team,G,W,L,T,W_L_Per,Pts,PtsO,PtDif
2003,BUF,16,6,10,0,0.375,243,279,-36
2003,NYJ,16,6,10,0,0.375,283,299,-16
2003,PIT,16,6,10,0,0.375,300,327,-27
2002,JAX,16,6,10,0,0.375,328,315,13
2002,MIN,16,6,10,0,0.375,390,442,-52
2001,CIN,16,6,10,0,0.375,226,309,-83
2001,IND,16,6,10,0,0.375,413,486,-73
2001,JAX,16,6,10,0,0.375,294,286,8
2001,KAN,16,6,10,0,0.375,320,344,-24
2000,SEA,16,6,10,0,0.375,320,405,-85
2000,SFO,16,6,10,0,0.375,388,422,-34
1999,CHI,16,6,10,0,0.375,272,341,-69
1999,ARI,16,6,10,0,0.375,245,382,-137
1999,DEN,16,6,10,0,0.375,314,318,-4
1999,PIT,16,6,10,0,0.375,317,320,-3
2024,ATL,8,5,3,0,0.625,194,195,-1
2024,DEN,8,5,3,0,0.625,173,120,53
2024,MIN,7,5,2,0,0.714,188,137,51
2024,PHI,7,5,2,0,0.714,171,132,39
2024,PIT,7,5,2,0,0.714,161,101,60
2024,BAL,8,5,3,0,0.625,242,209,33
2023,LAC,17,5,12,0,0.294,346,398,-52
2022,DEN,17,5,12,0,0.294,287,359,-72
2022,LAR,17,5,12,0,0.294,307,384,-77
2021,CAR,17,5,12,0,0.294,304,404,-100
2020,CAR,16,5,11,0,0.313,350,402,-52
2020,DEN,16,5,11,0,0.313,323,446,-123
2020,DET,16,5,11,0,0.313,377,519,-142
2019,CAR,16,5,11,0,0.313,340,470,-130
2019,ARI,16,5,10,1,0.344,361,442,-81
2019,MIA,16,5,11,0,0.313,306,494,-188
2019,LAC,16,5,11,0,0.313,337,345,-8
2018,JAX,16,5,11,0,0.313,245,316,-71
2018,NYG,16,5,11,0,0.313,369,412,-43
2018,TAM,16,5,11,0,0.313,396,464,-68
2017,CHI,16,5,11,0,0.313,264,320,-56
2017,DEN,16,5,11,0,0.313,289,382,-93
2017,NYJ,16,5,11,0,0.313,298,382,-84
2017,TAM,16,5,11,0,0.313,335,382,-47
2016,NYJ,16,5,11,0,0.313,275,409,-134
2016,SDG,16,5,11,0,0.313,410,423,-13
2015,JAX,16,5,11,0,0.313,376,448,-72
2015,BAL,16,5,11,0,0.313,328,401,-73
2015,SFO,16,5,11,0,0.313,238,387,-149
2014,CHI,16,5,11,0,0.313,319,442,-123
2013,MIN,16,5,10,1,0.344,391,480,-89
2012,CLE,16,5,11,0,0.313,302,368,-66
2012,ARI,16,5,11,0,0.313,250,357,-107
2011,JAX,16,5,11,0,0.313,243,329,-86
2011,WAS,16,5,11,0,0.313,288,367,-79
2010,CLE,16,5,11,0,0.313,271,332,-61
2010,ARI,16,5,11,0,0.313,289,434,-145
2009,CLE,16,5,11,0,0.313,245,375,-130
2009,OAK,16,5,11,0,0.313,197,379,-182
2009,SEA,16,5,11,0,0.313,280,390,-110
2008,JAX,16,5,11,0,0.313,302,367,-65
2008,OAK,16,5,11,0,0.313,263,388,-125
2007,BAL,16,5,11,0,0.313,275,384,-109
2007,SFO,16,5,11,0,0.313,219,364,-145
2006,ARI,16,5,11,0,0.313,314,389,-75
2006,WAS,16,5,11,0,0.313,307,376,-69
2005,BUF,16,5,11,0,0.313,271,367,-96
2005,ARI,16,5,11,0,0.313,311,387,-76
2005,DET,16,5,11,0,0.313,254,345,-91
2004,CHI,16,5,11,0,0.313,231,331,-100
2004,TEN,16,5,11,0,0.313,344,439,-95
2004,OAK,16,5,11,0,0.313,320,442,-122
2004,TAM,16,5,11,0,0.313,301,304,-3
2003,ATL,16,5,11,0,0.313,299,422,-123
2003,CLE,16,5,11,0,0.313,254,322,-68
2003,DET,16,5,11,0,0.313,270,379,-109
2003,HOU,16,5,11,0,0.313,255,380,-125
2003,JAX,16,5,11,0,0.313,276,331,-55
2003,WAS,16,5,11,0,0.313,287,372,-85
2002,ARI,16,5,11,0,0.313,262,417,-155
2002,DAL,16,5,11,0,0.313,217,329,-112
2001,DAL,16,5,11,0,0.313,246,338,-92
2001,MIN,16,5,11,0,0.313,290,390,-100
2001,SDG,16,5,11,0,0.313,332,321,11
2000,CHI,16,5,11,0,0.313,216,355,-139
2000,DAL,16,5,11,0,0.313,294,361,-67
2000,NWE,16,5,11,0,0.313,276,338,-62
1999,ATL,16,5,11,0,0.313,285,380,-95
1999,PHI,16,5,11,0,0.313,272,357,-85
2024,CHI,7,4,3,0,0.571,163,119,44
2024,IND,8,4,4,0,0.5,175,172,3
2024,ARI,8,4,4,0,0.5,178,205,-27
2024,LAC,7,4,3,0,0.571,132,91,41
2024,SEA,8,4,4,0,0.5,190,195,-5
2024,SFO,8,4,4,0,0.5,210,182,28
2024,TAM,8,4,4,0,0.5,235,213,22
2023,ARI,17,4,13,0,0.235,330,455,-125
2023,NWE,17,4,13,0,0.235,236,366,-130
2023,WAS,17,4,13,0,0.235,329,518,-189
2022,IND,17,4,12,1,0.265,289,427,-138
2022,ARI,17,4,13,0,0.235,340,449,-109
2021,HOU,17,4,13,0,0.235,280,452,-172
2021,NYG,17,4,13,0,0.235,258,416,-158
2021,NYJ,17,4,13,0,0.235,310,504,-194
2020,ATL,16,4,12,0,0.25,396,414,-18
2020,CIN,16,4,11,1,0.281,311,424,-113
2020,HOU,16,4,12,0,0.25,384,464,-80
2020,PHI,16,4,11,1,0.281,334,418,-84
2019,NYG,16,4,12,0,0.25,341,451,-110
2018,NYJ,16,4,12,0,0.25,333,441,-108
2018,OAK,16,4,12,0,0.25,290,467,-177
2018,SFO,16,4,12,0,0.25,342,435,-93
2017,IND,16,4,12,0,0.25,263,404,-141
2017,HOU,16,4,12,0,0.25,338,436,-98
2016,LAR,16,4,12,0,0.25,224,394,-170
2015,DAL,16,4,12,0,0.25,275,374,-99
2015,SDG,16,4,12,0,0.25,320,398,-78
2014,NYJ,16,4,12,0,0.25,283,401,-118
2014,WAS,16,4,12,0,0.25,301,438,-137
2013,ATL,16,4,12,0,0.25,353,443,-90
2013,CLE,16,4,12,0,0.25,308,406,-98
2013,JAX,16,4,12,0,0.25,247,449,-202
2013,OAK,16,4,12,0,0.25,322,453,-131
2013,TAM,16,4,12,0,0.25,288,389,-101
2012,DET,16,4,12,0,0.25,372,437,-65
2012,PHI,16,4,12,0,0.25,280,444,-164
2012,OAK,16,4,12,0,0.25,290,443,-153
2011,CLE,16,4,12,0,0.25,218,307,-89
2011,TAM,16,4,12,0,0.25,287,494,-207
2010,BUF,16,4,12,0,0.25,283,425,-142
2010,CIN,16,4,12,0,0.25,322,395,-73
2010,DEN,16,4,12,0,0.25,344,471,-127
2009,KAN,16,4,12,0,0.25,294,424,-130
2009,WAS,16,4,12,0,0.25,266,336,-70
2008,CIN,16,4,11,1,0.281,204,364,-160
2008,CLE,16,4,12,0,0.25,232,350,-118
2008,SEA,16,4,12,0,0.25,294,392,-98
2007,ATL,16,4,12,0,0.25,259,414,-155
2007,KAN,16,4,12,0,0.25,226,335,-109
2007,NYJ,16,4,12,0,0.25,268,355,-87
2007,OAK,16,4,12,0,0.25,283,398,-115
2006,CLE,16,4,12,0,0.25,238,356,-118
2006,TAM,16,4,12,0,0.25,211,353,-142
2005,GNB,16,4,12,0,0.25,298,344,-46
2005,NYJ,16,4,12,0,0.25,240,355,-115
2005,TEN,16,4,12,0,0.25,299,421,-122
2005,OAK,16,4,12,0,0.25,290,383,-93
2005,SFO,16,4,12,0,0.25,239,428,-189
2004,CLE,16,4,12,0,0.25,276,390,-114
2004,MIA,16,4,12,0,0.25,275,354,-79
2003,ARI,16,4,12,0,0.25,225,452,-227
2003,NYG,16,4,12,0,0.25,243,387,-144
2003,OAK,16,4,12,0,0.25,270,379,-109
2003,SDG,16,4,12,0,0.25,313,441,-128
2002,CHI,16,4,12,0,0.25,281,379,-98
2002,HOU,16,4,12,0,0.25,213,356,-143
2000,ATL,16,4,12,0,0.25,252,413,-161
2000,CIN,16,4,12,0,0.25,185,359,-174
1999,CIN,16,4,12,0,0.25,283,460,-177
1999,SFO,16,4,12,0,0.25,295,453,-158
2024,CIN,8,3,5,0,0.375,195,203,-8
2024,DAL,7,3,4,0,0.429,150,198,-48
2024,LAR,7,3,4,0,0.429,144,174,-30
2022,CHI,17,3,14,0,0.176,326,463,-137
2022,HOU,17,3,13,1,0.206,289,420,-131
2021,DET,17,3,13,1,0.206,325,467,-142
2021,JAX,17,3,14,0,0.176,253,457,-204
2019,DET,16,3,12,1,0.219,341,423,-82
2019,WAS,16,3,13,0,0.188,266,435,-169
2018,ARI,16,3,13,0,0.188,225,425,-200
2017,NYG,16,3,13,0,0.188,246,388,-142
2016,CHI,16,3,13,0,0.188,279,399,-120
2016,JAX,16,3,13,0,0.188,318,400,-82
2015,CLE,16,3,13,0,0.188,278,432,-154
2015,TEN,16,3,13,0,0.188,299,423,-124
2014,JAX,16,3,13,0,0.188,249,412,-163
2014,OAK,16,3,13,0,0.188,253,452,-199
2013,WAS,16,3,13,0,0.188,334,478,-144
2011,MIN,16,3,13,0,0.188,340,449,-109
2009,TAM,16,3,13,0,0.188,244,400,-156
2007,STL,16,3,13,0,0.188,263,438,-175
2006,DET,16,3,13,0,0.188,305,398,-93
2005,NOR,16,3,13,0,0.188,235,398,-163
2002,DET,16,3,13,0,0.188,306,451,-145
2001,BUF,16,3,13,0,0.188,265,420,-155
2000,CLE,16,3,13,0,0.188,161,419,-258
2000,ARI,16,3,13,0,0.188,210,443,-233
1999,NOR,16,3,13,0,0.188,260,434,-174
2024,CLE,8,2,6,0,0.25,138,186,-48
2024,JAX,8,2,6,0,0.25,172,224,-52
2024,MIA,7,2,5,0,0.286,97,157,-60
2024,NOR,8,2,6,0,0.25,185,206,-21
2024,NWE,8,2,6,0,0.25,124,197,-73
2024,NYG,7,2,5,0,0.286,99,149,-50
2024,NYJ,8,2,6,0,0.25,150,170,-20
2024,LVR,8,2,6,0,0.25,144,210,-66
2023,CAR,17,2,15,0,0.118,236,416,-180
2020,NYJ,16,2,14,0,0.125,243,457,-214
2019,CIN,16,2,14,0,0.125,279,420,-141
2016,SFO,16,2,14,0,0.125,309,480,-171
2014,TEN,16,2,14,0,0.125,254,438,-184
2014,TAM,16,2,14,0,0.125,277,410,-133
2013,HOU,16,2,14,0,0.125,276,428,-152
2012,JAX,16,2,14,0,0.125,255,444,-189
2012,KAN,16,2,14,0,0.125,211,425,-214
2011,IND,16,2,14,0,0.125,243,430,-187
2011,STL,16,2,14,0,0.125,193,407,-214
2010,CAR,16,2,14,0,0.125,196,408,-212
2009,DET,16,2,14,0,0.125,262,494,-232
2008,KAN,16,2,14,0,0.125,291,440,-149
2008,STL,16,2,14,0,0.125,232,465,-233
2006,OAK,16,2,14,0,0.125,168,332,-164
2005,HOU,16,2,14,0,0.125,260,431,-171
2004,SFO,16,2,14,0,0.125,259,452,-193
2002,CIN,16,2,14,0,0.125,279,456,-177
2001,DET,16,2,14,0,0.125,270,424,-154
1999,CLE,16,2,14,0,0.125,217,437,-220
2024,CAR,8,1,7,0,0.125,124,271,-147
2024,TEN,7,1,6,0,0.143,120,196,-76
2020,JAX,16,1,15,0,0.063,306,492,-186
2016,CLE,16,1,15,0,0.063,264,452,-188
2009,STL,16,1,15,0,0.063,175,436,-261
2007,MIA,16,1,15,0,0.063,267,437,-170
2001,CAR,16,1,15,0,0.063,253,410,-157
2000,SDG,16,1,15,0,0.063,269,440,-171
2017,CLE,16,0,16,0,0,234,410,-176
2008,DET,16,0,16,0,0,268,517,-249
